2026-07-14 19:46:45 [ERA5] ========================================================================
2026-07-14 19:46:45 [ERA5] Parallel raw WeatherBench2 ERA5 downloader
2026-07-14 19:46:45 [ERA5] Period: 1979–2022
2026-07-14 19:46:45 [ERA5] Workers: 64
2026-07-14 19:46:45 [ERA5] No decompression or recompression
2026-07-14 19:46:45 [ERA5] ========================================================================
2026-07-14 19:46:45 [ERA5] Opening remote metadata
2026-07-14 19:47:08 [ERA5] Selected time indices: 29,220..93,503
2026-07-14 19:47:08 [ERA5] Selected timestamps: 64,284
2026-07-14 19:47:08 [ERA5] Copying Zarr metadata and coordinates
2026-07-14 19:47:10 [ERA5] metadata 1/39: .zgroup | exists | 24.00 B
2026-07-14 19:47:10 [ERA5] metadata 2/39: .zattrs | exists | 2.00 B
2026-07-14 19:47:10 [ERA5] metadata 3/39: .zarray | exists | 320.00 B
2026-07-14 19:47:10 [ERA5] metadata 4/39: .zattrs | exists | 129.00 B
2026-07-14 19:47:10 [ERA5] metadata 5/39: 0 | exists | 3.25 KiB
2026-07-14 19:47:10 [ERA5] metadata 6/39: 1 | exists | 3.29 KiB
2026-07-14 19:47:10 [ERA5] metadata 7/39: 2 | exists | 3.00 KiB
2026-07-14 19:47:10 [ERA5] metadata 8/39: 3 | exists | 3.29 KiB
2026-07-14 19:47:10 [ERA5] metadata 9/39: .zarray | exists | 314.00 B
2026-07-14 19:47:10 [ERA5] metadata 10/39: .zattrs | exists | 52.00 B
2026-07-14 19:47:10 [ERA5] metadata 11/39: 0 | exists | 120.00 B
2026-07-14 19:47:10 [ERA5] metadata 12/39: .zarray | exists | 317.00 B
2026-07-14 19:47:10 [ERA5] metadata 13/39: .zattrs | exists | 56.00 B
2026-07-14 19:47:10 [ERA5] metadata 14/39: 0 | exists | 845.00 B
2026-07-14 19:47:10 [ERA5] metadata 15/39: .zarray | exists | 317.00 B
2026-07-14 19:47:10 [ERA5] metadata 16/39: .zattrs | exists | 55.00 B
2026-07-14 19:47:10 [ERA5] metadata 17/39: 0 | exists | 528.00 B
2026-07-14 19:47:10 [ERA5] metadata 18/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 19/39: .zattrs | exists | 229.00 B
2026-07-14 19:47:10 [ERA5] metadata 20/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 21/39: .zattrs | exists | 222.00 B
2026-07-14 19:47:10 [ERA5] metadata 22/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 23/39: .zattrs | exists | 238.00 B
2026-07-14 19:47:10 [ERA5] metadata 24/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 25/39: .zattrs | exists | 234.00 B
2026-07-14 19:47:10 [ERA5] metadata 26/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 27/39: .zattrs | exists | 235.00 B
2026-07-14 19:47:10 [ERA5] metadata 28/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 29/39: .zattrs | exists | 175.00 B
2026-07-14 19:47:10 [ERA5] metadata 30/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 31/39: .zattrs | exists | 187.00 B
2026-07-14 19:47:10 [ERA5] metadata 32/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 33/39: .zattrs | exists | 187.00 B
2026-07-14 19:47:10 [ERA5] metadata 34/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 35/39: .zattrs | exists | 235.00 B
2026-07-14 19:47:10 [ERA5] metadata 36/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 37/39: .zattrs | exists | 217.00 B
2026-07-14 19:47:10 [ERA5] metadata 38/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 39/39: .zattrs | exists | 174.00 B
2026-07-14 19:47:10 [ERA5] geopotential: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:11 [ERA5] temperature: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:11 [ERA5] specific_humidity: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:12 [ERA5] u_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:12 [ERA5] v_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:12 [ERA5] 2m_temperature: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:13 [ERA5] 10m_u_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:13 [ERA5] 10m_v_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:13 [ERA5] mean_sea_level_pressure: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:14 [ERA5] surface_pressure: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:14 [ERA5] total_precipitation_6hr: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:14 [ERA5] Starting raw-object copy with 64 workers
2026-07-14 19:47:14 [ERA5] Total ERA5 chunk objects: 88,396
2026-07-14 19:47:14 [ERA5] Destination: /home/tahiti/ConserveFM/data/ERA5_WeatherBench2_1979_2022
2026-07-14 19:47:14 [ERA5] progress=201/88,396 (0.23%) | new=0.00 B | skipped=201 | average=0.00 B/s | ETA≈0.0 h
2026-07-14 19:47:44 [ERA5] progress=28,081/88,396 (31.77%) | new=177.69 MiB | skipped=28,063 | average=5.91 MiB/s | ETA≈28.0 h
2026-07-14 19:48:16 [ERA5] progress=28,101/88,396 (31.79%) | new=375.19 MiB | skipped=28,063 | average=6.06 MiB/s | ETA≈27.3 h
2026-07-14 19:48:47 [ERA5] progress=28,120/88,396 (31.81%) | new=562.55 MiB | skipped=28,063 | average=6.06 MiB/s | ETA≈27.3 h
2026-07-14 19:49:17 [ERA5] progress=28,142/88,396 (31.84%) | new=779.51 MiB | skipped=28,063 | average=6.32 MiB/s | ETA≈26.1 h
2026-07-14 19:49:48 [ERA5] progress=28,164/88,396 (31.86%) | new=997.01 MiB | skipped=28,063 | average=6.47 MiB/s | ETA≈25.5 h
2026-07-14 19:50:19 [ERA5] progress=28,183/88,396 (31.88%) | new=1.16 GiB | skipped=28,063 | average=6.41 MiB/s | ETA≈25.8 h
2026-07-14 19:50:49 [ERA5] progress=28,202/88,396 (31.90%) | new=1.34 GiB | skipped=28,063 | average=6.39 MiB/s | ETA≈25.8 h
2026-07-14 19:51:19 [ERA5] progress=28,221/88,396 (31.93%) | new=1.52 GiB | skipped=28,063 | average=6.37 MiB/s | ETA≈25.9 h
2026-07-14 19:51:50 [ERA5] progress=28,240/88,396 (31.95%) | new=1.71 GiB | skipped=28,063 | average=6.34 MiB/s | ETA≈26.0 h
2026-07-14 19:52:20 [ERA5] progress=28,261/88,396 (31.97%) | new=1.91 GiB | skipped=28,063 | average=6.38 MiB/s | ETA≈25.8 h
2026-07-14 19:52:50 [ERA5] progress=28,278/88,396 (31.99%) | new=2.07 GiB | skipped=28,063 | average=6.30 MiB/s | ETA≈26.1 h
2026-07-14 19:53:21 [ERA5] progress=28,297/88,396 (32.01%) | new=2.25 GiB | skipped=28,063 | average=6.29 MiB/s | ETA≈26.2 h
2026-07-14 19:53:52 [ERA5] progress=28,317/88,396 (32.03%) | new=2.45 GiB | skipped=28,063 | average=6.29 MiB/s | ETA≈26.2 h
2026-07-14 19:54:23 [ERA5] progress=28,335/88,396 (32.05%) | new=2.62 GiB | skipped=28,063 | average=6.25 MiB/s | ETA≈26.3 h
2026-07-14 19:54:54 [ERA5] progress=28,354/88,396 (32.08%) | new=2.80 GiB | skipped=28,063 | average=6.23 MiB/s | ETA≈26.4 h
2026-07-14 19:55:25 [ERA5] progress=28,373/88,396 (32.10%) | new=2.99 GiB | skipped=28,063 | average=6.23 MiB/s | ETA≈26.4 h
2026-07-14 19:55:59 [ERA5] progress=28,391/88,396 (32.12%) | new=3.16 GiB | skipped=28,063 | average=6.16 MiB/s | ETA≈26.7 h
2026-07-14 19:56:30 [ERA5] progress=28,412/88,396 (32.14%) | new=3.36 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈26.5 h
2026-07-14 19:57:04 [ERA5] progress=28,429/88,396 (32.16%) | new=3.53 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.8 h
2026-07-14 19:57:38 [ERA5] progress=28,450/88,396 (32.18%) | new=3.73 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.9 h
2026-07-14 19:58:08 [ERA5] progress=28,469/88,396 (32.21%) | new=3.91 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.8 h
2026-07-14 19:58:39 [ERA5] progress=28,486/88,396 (32.23%) | new=4.08 GiB | skipped=28,063 | average=6.10 MiB/s | ETA≈26.9 h
2026-07-14 19:59:10 [ERA5] progress=28,506/88,396 (32.25%) | new=4.27 GiB | skipped=28,063 | average=6.10 MiB/s | ETA≈26.9 h
2026-07-14 19:59:41 [ERA5] progress=28,525/88,396 (32.27%) | new=4.45 GiB | skipped=28,063 | average=6.11 MiB/s | ETA≈26.9 h
2026-07-14 20:00:13 [ERA5] progress=28,543/88,396 (32.29%) | new=4.63 GiB | skipped=28,063 | average=6.08 MiB/s | ETA≈27.0 h
2026-07-14 20:00:44 [ERA5] progress=28,561/88,396 (32.31%) | new=4.80 GiB | skipped=28,063 | average=6.07 MiB/s | ETA≈27.0 h
2026-07-14 20:01:15 [ERA5] progress=28,580/88,396 (32.33%) | new=4.98 GiB | skipped=28,063 | average=6.07 MiB/s | ETA≈27.0 h
2026-07-14 20:01:45 [ERA5] progress=28,602/88,396 (32.36%) | new=5.19 GiB | skipped=28,063 | average=6.10 MiB/s | ETA≈26.9 h
2026-07-14 20:02:16 [ERA5] progress=28,621/88,396 (32.38%) | new=5.38 GiB | skipped=28,063 | average=6.11 MiB/s | ETA≈26.8 h
2026-07-14 20:02:47 [ERA5] progress=28,637/88,396 (32.40%) | new=5.53 GiB | skipped=28,063 | average=6.07 MiB/s | ETA≈27.0 h
2026-07-14 20:03:18 [ERA5] progress=28,660/88,396 (32.42%) | new=5.75 GiB | skipped=28,063 | average=6.11 MiB/s | ETA≈26.8 h
2026-07-14 20:03:50 [ERA5] progress=28,678/88,396 (32.44%) | new=5.93 GiB | skipped=28,063 | average=6.09 MiB/s | ETA≈26.9 h
2026-07-14 20:04:22 [ERA5] progress=28,700/88,396 (32.47%) | new=6.14 GiB | skipped=28,063 | average=6.11 MiB/s | ETA≈26.8 h
