2026-07-15 17:18:43 [ERA5] ========================================================================
2026-07-15 17:18:43 [ERA5] Parallel raw WeatherBench2 ERA5 downloader
2026-07-15 17:18:43 [ERA5] Period: 1979–2022
2026-07-15 17:18:43 [ERA5] Workers: 32
2026-07-15 17:18:43 [ERA5] No decompression or recompression
2026-07-15 17:18:43 [ERA5] ========================================================================
2026-07-15 17:18:43 [ERA5] Opening remote metadata
2026-07-15 17:19:23 [ERA5] Selected time indices: 29,220..93,503
2026-07-15 17:19:23 [ERA5] Selected timestamps: 64,284
2026-07-15 17:19:23 [ERA5] Copying Zarr metadata and coordinates
2026-07-15 17:19:28 [ERA5] metadata 1/39: .zgroup | exists | 24.00 B
2026-07-15 17:19:28 [ERA5] metadata 2/39: .zattrs | exists | 2.00 B
2026-07-15 17:19:28 [ERA5] metadata 3/39: .zarray | exists | 320.00 B
2026-07-15 17:19:28 [ERA5] metadata 4/39: .zattrs | exists | 129.00 B
2026-07-15 17:19:28 [ERA5] metadata 5/39: 0 | exists | 3.25 KiB
2026-07-15 17:19:28 [ERA5] metadata 6/39: 1 | exists | 3.29 KiB
2026-07-15 17:19:28 [ERA5] metadata 7/39: 2 | exists | 3.00 KiB
2026-07-15 17:19:28 [ERA5] metadata 8/39: 3 | exists | 3.29 KiB
2026-07-15 17:19:28 [ERA5] metadata 9/39: .zarray | exists | 314.00 B
2026-07-15 17:19:28 [ERA5] metadata 10/39: .zattrs | exists | 52.00 B
2026-07-15 17:19:28 [ERA5] metadata 11/39: 0 | exists | 120.00 B
2026-07-15 17:19:28 [ERA5] metadata 12/39: .zarray | exists | 317.00 B
2026-07-15 17:19:28 [ERA5] metadata 13/39: .zattrs | exists | 56.00 B
2026-07-15 17:19:28 [ERA5] metadata 14/39: 0 | exists | 845.00 B
2026-07-15 17:19:28 [ERA5] metadata 15/39: .zarray | exists | 317.00 B
2026-07-15 17:19:28 [ERA5] metadata 16/39: .zattrs | exists | 55.00 B
2026-07-15 17:19:28 [ERA5] metadata 17/39: 0 | exists | 528.00 B
2026-07-15 17:19:28 [ERA5] metadata 18/39: .zarray | exists | 393.00 B
2026-07-15 17:19:28 [ERA5] metadata 19/39: .zattrs | exists | 229.00 B
2026-07-15 17:19:28 [ERA5] metadata 20/39: .zarray | exists | 393.00 B
2026-07-15 17:19:28 [ERA5] metadata 21/39: .zattrs | exists | 222.00 B
2026-07-15 17:19:28 [ERA5] metadata 22/39: .zarray | exists | 393.00 B
2026-07-15 17:19:28 [ERA5] metadata 23/39: .zattrs | exists | 238.00 B
2026-07-15 17:19:28 [ERA5] metadata 24/39: .zarray | exists | 393.00 B
2026-07-15 17:19:28 [ERA5] metadata 25/39: .zattrs | exists | 234.00 B
2026-07-15 17:19:28 [ERA5] metadata 26/39: .zarray | exists | 393.00 B
2026-07-15 17:19:28 [ERA5] metadata 27/39: .zattrs | exists | 235.00 B
2026-07-15 17:19:28 [ERA5] metadata 28/39: .zarray | exists | 369.00 B
2026-07-15 17:19:28 [ERA5] metadata 29/39: .zattrs | exists | 175.00 B
2026-07-15 17:19:28 [ERA5] metadata 30/39: .zarray | exists | 369.00 B
2026-07-15 17:19:28 [ERA5] metadata 31/39: .zattrs | exists | 187.00 B
2026-07-15 17:19:28 [ERA5] metadata 32/39: .zarray | exists | 369.00 B
2026-07-15 17:19:28 [ERA5] metadata 33/39: .zattrs | exists | 187.00 B
2026-07-15 17:19:28 [ERA5] metadata 34/39: .zarray | exists | 369.00 B
2026-07-15 17:19:28 [ERA5] metadata 35/39: .zattrs | exists | 235.00 B
2026-07-15 17:19:28 [ERA5] metadata 36/39: .zarray | exists | 369.00 B
2026-07-15 17:19:28 [ERA5] metadata 37/39: .zattrs | exists | 217.00 B
2026-07-15 17:19:28 [ERA5] metadata 38/39: .zarray | exists | 369.00 B
2026-07-15 17:19:28 [ERA5] metadata 39/39: .zattrs | exists | 174.00 B
2026-07-15 17:19:28 [ERA5] geopotential: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:28 [ERA5] temperature: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:29 [ERA5] specific_humidity: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:31 [ERA5] u_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:31 [ERA5] v_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:32 [ERA5] 2m_temperature: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:32 [ERA5] 10m_u_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:32 [ERA5] 10m_v_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:32 [ERA5] mean_sea_level_pressure: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:33 [ERA5] surface_pressure: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:33 [ERA5] total_precipitation_6hr: source chunks 3652..11687 | objects=8,036
2026-07-15 17:19:33 [ERA5] Starting raw-object copy with 32 workers
2026-07-15 17:19:33 [ERA5] Total ERA5 chunk objects: 88,396
2026-07-15 17:19:33 [ERA5] Destination: /home/tahiti/ConserveFM/data/ERA5_WeatherBench2_1979_2022
2026-07-15 17:19:33 [ERA5] progress=90/88,396 (0.10%) | new=0.00 B | skipped=90 | average=0.00 B/s | ETA≈0.0 h
2026-07-15 17:20:05 [ERA5] progress=39,793/88,396 (45.02%) | new=80.22 MiB | skipped=39,785 | average=2.51 MiB/s | ETA≈53.9 h
2026-07-15 17:20:39 [ERA5] progress=39,803/88,396 (45.03%) | new=180.29 MiB | skipped=39,785 | average=2.76 MiB/s | ETA≈49.1 h
2026-07-15 17:21:09 [ERA5] progress=39,814/88,396 (45.04%) | new=290.31 MiB | skipped=39,785 | average=3.02 MiB/s | ETA≈44.7 h
2026-07-15 17:21:43 [ERA5] progress=39,824/88,396 (45.05%) | new=390.63 MiB | skipped=39,785 | average=3.01 MiB/s | ETA≈44.9 h
2026-07-15 17:22:18 [ERA5] progress=39,834/88,396 (45.06%) | new=490.93 MiB | skipped=39,785 | average=2.97 MiB/s | ETA≈45.5 h
2026-07-15 17:22:50 [ERA5] progress=39,844/88,396 (45.07%) | new=591.15 MiB | skipped=39,785 | average=3.00 MiB/s | ETA≈45.0 h
2026-07-15 17:23:25 [ERA5] progress=39,855/88,396 (45.09%) | new=701.51 MiB | skipped=39,785 | average=3.03 MiB/s | ETA≈44.6 h
2026-07-15 17:23:56 [ERA5] progress=39,867/88,396 (45.10%) | new=821.90 MiB | skipped=39,785 | average=3.13 MiB/s | ETA≈43.2 h
2026-07-15 17:24:32 [ERA5] progress=39,878/88,396 (45.11%) | new=932.37 MiB | skipped=39,785 | average=3.12 MiB/s | ETA≈43.2 h
2026-07-15 17:25:02 [ERA5] progress=39,889/88,396 (45.13%) | new=1.02 GiB | skipped=39,785 | average=3.17 MiB/s | ETA≈42.6 h
2026-07-15 17:25:33 [ERA5] progress=39,898/88,396 (45.14%) | new=1.11 GiB | skipped=39,785 | average=3.15 MiB/s | ETA≈42.9 h
2026-07-15 17:26:08 [ERA5] progress=39,910/88,396 (45.15%) | new=1.22 GiB | skipped=39,785 | average=3.18 MiB/s | ETA≈42.5 h
2026-07-15 17:26:39 [ERA5] progress=39,919/88,396 (45.16%) | new=1.31 GiB | skipped=39,785 | average=3.16 MiB/s | ETA≈42.8 h
2026-07-15 17:27:09 [ERA5] progress=39,928/88,396 (45.17%) | new=1.40 GiB | skipped=39,785 | average=3.15 MiB/s | ETA≈42.9 h
2026-07-15 17:27:45 [ERA5] progress=39,939/88,396 (45.18%) | new=1.51 GiB | skipped=39,785 | average=3.14 MiB/s | ETA≈43.0 h
2026-07-15 17:28:16 [ERA5] progress=39,952/88,396 (45.20%) | new=1.64 GiB | skipped=39,785 | average=3.20 MiB/s | ETA≈42.1 h
2026-07-15 17:28:49 [ERA5] progress=39,963/88,396 (45.21%) | new=1.74 GiB | skipped=39,785 | average=3.21 MiB/s | ETA≈42.0 h
2026-07-15 17:29:19 [ERA5] progress=39,974/88,396 (45.22%) | new=1.85 GiB | skipped=39,785 | average=3.23 MiB/s | ETA≈41.7 h
2026-07-15 17:29:53 [ERA5] progress=39,987/88,396 (45.24%) | new=1.98 GiB | skipped=39,785 | average=3.27 MiB/s | ETA≈41.2 h
2026-07-15 17:30:23 [ERA5] progress=39,996/88,396 (45.25%) | new=2.07 GiB | skipped=39,785 | average=3.26 MiB/s | ETA≈41.4 h
2026-07-15 17:30:54 [ERA5] progress=40,006/88,396 (45.26%) | new=2.16 GiB | skipped=39,785 | average=3.25 MiB/s | ETA≈41.4 h
2026-07-15 17:31:26 [ERA5] progress=40,016/88,396 (45.27%) | new=2.26 GiB | skipped=39,785 | average=3.25 MiB/s | ETA≈41.5 h
2026-07-15 17:31:59 [ERA5] progress=40,028/88,396 (45.28%) | new=2.38 GiB | skipped=39,785 | average=3.26 MiB/s | ETA≈41.3 h
2026-07-15 17:32:31 [ERA5] progress=40,037/88,396 (45.29%) | new=2.47 GiB | skipped=39,785 | average=3.25 MiB/s | ETA≈41.5 h
2026-07-15 17:33:02 [ERA5] progress=40,048/88,396 (45.31%) | new=2.58 GiB | skipped=39,785 | average=3.26 MiB/s | ETA≈41.3 h
2026-07-15 17:33:34 [ERA5] progress=40,058/88,396 (45.32%) | new=2.67 GiB | skipped=39,785 | average=3.26 MiB/s | ETA≈41.3 h
2026-07-15 17:34:07 [ERA5] progress=40,069/88,396 (45.33%) | new=2.78 GiB | skipped=39,785 | average=3.26 MiB/s | ETA≈41.3 h
2026-07-15 17:34:40 [ERA5] progress=40,080/88,396 (45.34%) | new=2.89 GiB | skipped=39,785 | average=3.26 MiB/s | ETA≈41.3 h
2026-07-15 17:35:14 [ERA5] progress=40,091/88,396 (45.35%) | new=3.00 GiB | skipped=39,785 | average=3.26 MiB/s | ETA≈41.3 h
2026-07-15 17:35:49 [ERA5] progress=40,104/88,396 (45.37%) | new=3.12 GiB | skipped=39,785 | average=3.28 MiB/s | ETA≈41.0 h
2026-07-15 17:36:21 [ERA5] progress=40,116/88,396 (45.38%) | new=3.24 GiB | skipped=39,785 | average=3.29 MiB/s | ETA≈40.8 h
2026-07-15 17:36:52 [ERA5] progress=40,127/88,396 (45.39%) | new=3.35 GiB | skipped=39,785 | average=3.30 MiB/s | ETA≈40.7 h
2026-07-15 17:37:23 [ERA5] progress=40,140/88,396 (45.41%) | new=3.48 GiB | skipped=39,785 | average=3.33 MiB/s | ETA≈40.4 h
